towncode,locality,county,district,population,patrolnum,patrol1,patrol2,patrol3,patrol4,patrol5,Notes
2037,Yila town,Bong,Kpaai,880,1,9-Aug-14,4-Feb-15,4-Mar-15,21-Apr-15,19-Aug-15,
2039,Zowienta,Bong,Kpaai,2048,1,9-Aug-14,4-Feb-15,18-Mar-15,21-Apr-15,,
2041,Dean town/Gold Camp,Bong,Boinsen,1100,1,10-Aug-14,5-Feb-15,3-Mar-15,21-Apr-15,19-Aug-15,
2043,Nyenwolo,Bong,Kpaai,522,1,,,,,,Inaccessible
3031,Konia town,Lofa,Zorzor,3129,2,30-Aug-14,20-Feb-15,11-Apr-15,9-Aug-15,9-Sep-15,
3025,John’s town,Lofa,Voinjama,385,2,30-Aug-14,21-Feb-15,12-Apr-15,9-Aug-15,9-Sep-15,
3027,Malamai,Lofa,Voinjama,613,2,31-Aug-14,21-Feb-15,12-Apr-15,10-Aug-15,10-Sep-15,
3029,David Selma’s,Lofa,Voinjama,375,2,31-Aug-14,21-Feb-15,12-Apr-15,9-Aug-15,9-Sep-15,
2031,Gbalorkpala,Bong,Tukpahblee,1569,3,5-Feb-15,3-Mar-15,20-Apr-15,18-Aug-15,,
2033,Doe,Bong,Kokoyah,508,3,7-Feb-15,4-Mar-15,20-Apr-15,18-Aug-15,,
2035,Gbenequelleh,Bong,Jorquelleh,1290,3,7-Feb-15,3-Mar-15,20-Apr-15,18-Aug-15,,
2029,Tukpah,Bong,Tukpahblee,503,3,7-Feb-15,4-Mar-15,20-Apr-15,18-Aug-15,,
4029,Karnwee,Nimba,Leewehpea-Mahn,1741,4,12-Feb-15,4-Apr-15,1-Aug-15,2-Sep-15,,
4031,Flumpa,Nimba,Leewehpea-Mahn,1161,4,12-Feb-15,4-Apr-15,1-Aug-15,2-Sep-15,,
4035,Loyee,Nimba,Wee-Gbehyi-Mahn,676,4,12-Feb-15,4-Apr-15,1-Aug-15,2-Sep-15,,
4033,Gbahn,Nimba,Leewehpea-Mahn,1302,4,15-Feb-15,5-Apr-15,2-Aug-15,3-Sep-15,,
4025,Zolowee,Nimba,Sanniquellie Mahn,2028,5,13-Feb-15,6-Apr-15,3-Aug-15,4-Sep-15,,
4021,Zuluyee,Nimba,Garr-Gbain,786,5,14-Feb-15,7-Apr-15,4-Sep-15,,,
4023,Zorgowee,Nimba,Gbehlay-Geh,1128,5,14-Feb-15,6-Apr-15,,,,
4027,Gbedin,Nimba,Garr-Bain,438,5,14-Feb-15,6-Apr-15,3-Aug-15,4-Sep-15,,
2021,Galai,Bong,Kpaai,906,6,5-Feb-15,18-Mar-15,22-Apr-15,20-Aug-15,,
2023,Jinnepeleta community,Bong,Jorquelleh,350,6,6-Feb-15,19-Mar-15,22-Apr-15,20-Aug-15,,
2025,Tomato Camp,Bong,Kpaai,451,6,6-Feb-15,18-Mar-15,22-Apr-15,20-Aug-15,,
2027,Tassah,Bong,Kpaai,601,6,6-Feb-15,18-Mar-15,22-Apr-15,20-Aug-15,,
3035,Kpayaquelleh,Lofa,Salayea,319,7,13-Sep-14,19-Feb-15,10-Apr-15,10-Aug-15,8-Sep-15,
3037,Salayea,Lofa,Salayea,3768,7,13-Sep-14,19-Feb-15,10-Apr-15,8-Aug-15,8-Sep-15,
3033,Gbanway,Lofa,Salayea,1137,7,14-Sep-14,20-Feb-15,11-Apr-15,8-Aug-15,10-Sep-15,
3039,Kpayea,Lofa,Salayea,1950,7,14-Sep-14,20-Feb-15,11-Apr-15,8-Aug-15,8-Sep-15,
2047,Wainsue,Bong,Jorquelleh,1437,8,6-Feb-15,19-Mar-15,23-Apr-15,21-Aug-15,,
2045,Kollie-ta,Bong,Zota,601,8,7-Feb-15,19-Mar-15,23-Apr-15,21-Aug-15,,
3021,Beyan,Lofa,Salayea,1122,8,22-Feb-15,10-Apr-15,11-Aug-15,11-Sep-15,,
3023,Ganglota,Lofa,Salayea,1091,8,22-Feb-15,13-Apr-15,11-Aug-15,11-Sep-15,,
4037,Bunadin,Nimba,Meinpea-Mah,735,9,13-Feb-15,5-Apr-15,2-Aug-15,3-Sep-15,,
4039,Zarsonnoh,Nimba,Meinpea-Mah,901,9,13-Feb-15,5-Apr-15,2-Aug-15,3-Sep-15,,
4041,Nengbain,Nimba,Garr-Bain,1266,9,15-Feb-15,7-Apr-15,5-Sep-15,,,
4043,Kpein,Nimba,Meinpea-Mah,1572,9,15-Feb-15,7-Apr-15,5-Sep-15,,,
,,,,, ,,,,,,
